Event Sequence Number,Movement ID,Timestamp,Event Type,Container ID,Container Number,ISO Code,Size (TEU),Container Type,Load Status,Weight (MT),Weight Class,Yard Zone Type,Shipping Bill Number,Vessel ID,Voyage ID,POD,POD Priority,Expected Voyage DateTime,Actual Voyage DateTime,Cutoff DateTime,Type,Movement Type,From Location Type,From Location ID,To Location Type,To Location ID,Block ID,Stack ID,Tier Level,Equipment ID,Equipment Type,Stack Height After Move,Operator ID,Job ID,Planned Timestamp,Actual Timestamp,Delay Minutes,Exception Flag,Exception Reason,Reason for Movement,Container Status After Event,Dwell Time Since Last Event (min),Move Intent,Optimality Tag,Rehandle Flag,Rehandle Count,Total Dwell Time (min),Yard Utilization %,Block Utilization %,Congestion Level
20,MOV-EF8C837208,2025-01-15 16:29:41,Rehandle,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 08:58:00,2025-01-15 15:08:00,export_container,Transfer,Yard,SS2-B4-GROUND,Block,SS4-B2-18-05-1,SS4-B2,18-05,1,RTG-02,RTG,0,OP-017,JOB-9C201F15,2025-01-15 16:29:00,2025-01-15 16:29:41,0,0,N/A,Blocking container removal for access,In Yard,13,Forced,Suboptimal,1,1,107,75.7,58.9,Medium
21,MOV-CA59D7F4D4,2025-01-15 16:32:56,Yard Shift,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:26:00,2025-01-15 19:05:00,export_container,Transfer,Block,SS4-B1-GROUND,Block,SS3-B3-04-07-3,SS3-B3,04-07,3,RTG-08,RTG,0,OP-015,JOB-2521DEDE,2025-01-15 16:32:00,2025-01-15 16:32:56,0,0,N/A,Zone optimization movement,In Yard,24,Planned,Suboptimal,0,0,166,75.3,72.8,Medium
22,MOV-BF126D98BE,2025-01-15 16:41:35,Stack,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 10:00:00,2025-01-15 15:08:00,export_container,Stack,Block,SS4-B2-18-05-1,Block,SS4-B3-08-03-3,SS4-B3,08-03,3,RTG-02,RTG,3,OP-013,JOB-9C201F15,2025-01-15 16:41:00,2025-01-15 16:41:35,0,0,N/A,Yard stacking for storage,In Yard,12,Forced,Suboptimal,0,1,119,80.7,54.9,High
23,MOV-4E3F9D5559,2025-01-15 16:43:27,Stack,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:52:00,2025-01-15 19:05:00,export_container,Stack,Block,SS3-B3-04-07-3,Block,SS3-B5-09-07-1,SS3-B5,09-07,1,RTG-08,RTG,1,OP-006,JOB-2521DEDE,2025-01-15 16:43:00,2025-01-15 16:43:27,0,0,N/A,Yard stacking for storage,In Yard,11,Planned,Optimal,0,0,177,71.5,52.8,Medium
24,MOV-F3285198EB,2025-01-15 16:58:07,Pre-Staging,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 09:41:00,2025-01-15 15:08:00,export_container,Yard Out,Block,SS4-B3-08-03-3,Block,SS5-B4-03-07-4,SS5-B4,03-07,4,RTG-02,RTG,4,OP-001,JOB-9C201F15,2025-01-15 16:03:00,2025-01-15 16:58:07,55,1,Last-minute vessel cutoff change - timeline compressed,Last-minute vessel cutoff change - timeline compressed,In Yard,17,Forced,Suboptimal,0,1,136,75.6,65.9,Medium
25,MOV-D071B2947B,2025-01-15 17:16:38,Vessel Load,CNT-0027,EGLV3690622,42G0,2,Dry,Full,13.6,Medium,Sea-Side,SB804258,V002,VOY-2501-JNPT-02,JNPT,2,2025-01-15 09:08:00,2025-01-15 09:57:00,2025-01-15 15:08:00,export_container,Vessel Load,Block,SS5-B4-03-07-4,Vessel,V002,SS5-B4,N/A,0,QC-01,QC,0,OP-010,JOB-9C201F15,2025-01-15 17:16:00,2025-01-15 17:16:38,0,0,N/A,Loading to JNPT service,Loaded,18,Planned,Optimal,0,1,154,71.2,40.8,Medium
26,MOV-46D7A592C5,2025-01-15 18:22:44,Pre-Staging,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:31:00,2025-01-15 19:05:00,export_container,Yard Out,Block,SS3-B5-09-07-1,Block,SS3-B3-10-04-4,SS3-B3,10-04,4,RTG-08,RTG,4,OP-012,JOB-2521DEDE,2025-01-15 18:22:00,2025-01-15 18:22:44,0,0,N/A,Vessel cutoff preparation - VOY-2501-KOC-03,In Yard,99,Planned,Optimal,0,0,276,57.7,29.3,Low
27,MOV-742F88C713,2025-01-15 18:51:27,Vessel Load,CNT-0010,EGLV8926478,42G1,2,Dry,Full,29.7,Heavy,Sea-Side,SB368355,V003,VOY-2501-KOC-03,Kochi,3,2025-01-15 14:05:00,2025-01-15 14:10:00,2025-01-15 19:05:00,export_container,Vessel Load,Block,SS3-B3-10-04-4,Vessel,V003,SS3-B3,N/A,0,QC-02,QC,0,OP-002,JOB-2521DEDE,2025-01-15 18:51:00,2025-01-15 18:51:27,0,0,N/A,Loading to Kochi service,Loaded,29,Planned,Optimal,0,0,305,60.5,40.9,Medium
28,MOV-8FB5E4488C,2025-01-20 16:31:49,Gate In,CNT-0025,OOLU3254614,22R1,1,Reefer,Full,22.9,Heavy,Sea-Side,SB297064,V012,VOY-2501-MUN-12,Mundra,4,2025-01-22 10:51:00,2025-01-22 11:28:00,2025-01-22 16:51:00,export_container,Gate In,Gate,GATE-7,Yard,Sea-Side,N/A,N/A,0,TT-08,internal truck,0,OP-019,JOB-438B263F,2025-01-20 16:31:00,2025-01-20 16:31:49,0,0,N/A,Export cargo arrival from CFS/ICD,In Transit,0,Planned,Optimal,0,0,0,69.4,32.9,Medium
29,MOV-8D2B074905,2025-01-20 16:52:23,Yard In,CNT-0025,OOLU3254614,22R1,1,Reefer,Full,22.9,Heavy,Sea-Side,SB297064,V012,VOY-2501-MUN-12,Mundra,4,2025-01-22 10:51:00,2025-01-22 11:20:00,2025-01-22 16:51:00,export_container,Yard In,Yard,Sea-Side,Block,SS2-B1-02-03-2,SS2-B1,02-03,2,TT-08,internal truck,0,OP-017,JOB-438B263F,2025-01-20 16:52:00,2025-01-20 16:52:23,0,0,N/A,Initial yard positioning,In Transit,21,Planned,Optimal,0,0,21,61.4,30.4,Medium
30,MOV-4A0640F85B,2025-01-20 16:52:41,Gate In,CNT-0046,COSU1062138,45G1,2,Dry,Full,26.7,Heavy,Sea-Side,SB666366,V009,VOY-2501-CLB-09,Colombo,1,2025-01-22 11:17:00,2025-01-22 10:58:00,2025-01-22 15:17:00,export_container,Gate In,Gate,GATE-1,Yard,Sea-Side,N/A,N/A,0,TT-11,internal truck,0,OP-012,JOB-D8B145DD,2025-01-20 16:52:00,2025-01-20 16:52:41,0,0,N/A,Export cargo arrival from CFS/ICD,In Transit,0,Planned,Optimal,0,0,0,65.2,32.8,Medium
31,MOV-0A2FA4EACB,2025-01-20 17:03:53,Stack,CNT-0025,OOLU3254614,22R1,1,Reefer,Full,22.9,Heavy,Sea-Side,SB297064,V012,VOY-2501-MUN-12,Mundra,4,2025-01-22 10:51:00,2025-01-22 10:54:00,2025-01-22 16:51:00,export_container,Stack,Block,SS2-B1-02-03-2,Block,SS2-B1-06-07-4,SS2-B1,06-07,4,RTG-09,RTG,4,OP-003,JOB-438B263F,2025-01-20 17:03:00,2025-01-20 17:03:53,0,0,N/A,Yard stacking for storage,In Yard,11,Planned,Optimal,0,0,32,68.8,59.3,Medium
32,MOV-FBC5BA3DBE,2025-01-20 17:12:54,Unstack,CNT-0025,OOLU3254614,22R1,1,Reefer,Full,22.9,Heavy,Sea-Side,SB297064,V012,VOY-2501-MUN-12,Mundra,4,2025-01-22 10:51:00,2025-01-22 10:49:00,2025-01-22 16:51:00,export_container,Unstack,Block,SS2-B1-06-07-4,Yard,SS2-B1-GROUND,SS2-B1,GROUND,0,RTG-09,RTG,0,OP-008,JOB-438B263F,2025-01-20 17:12:00,2025-01-20 17:12:54,0,0,N/A,Retrieval for repositioning,On Ground,9,Planned,Suboptimal,0,0,41,68,63.3,Medium
33,MOV-114F0F7AEF,2025-01-20 17:46:42,Yard In,CNT-0046,COSU1062138,45G1,2,Dry,Full,26.7,Heavy,Sea-Side,SB666366,V009,VOY-2501-CLB-09,Colombo,1,2025-01-22 11:17:00,2025-01-22 11:11:00,2025-01-22 15:17:00,export_container,Yard In,Yard,Sea-Side,Block,SS3-B2-06-05-1,SS3-B2,06-05,1,TT-11,internal truck,0,OP-010,JOB-D8B145DD,2025-01-20 17:46:00,2025-01-20 17:46:42,0,0,N/A,Initial yard positioning,In Transit,54,Planned,Optimal,0,0,54,74.7,37.4,Medium
34,MOV-FD45A9280C,2025-01-20 17:48:51,Yard Shift,CNT-0025,OOLU3254614,22R1,1,Reefer,Full,22.9,Heavy,Sea-Side,SB297064,V012,VOY-2501-MUN-12,Mundra,4,2025-01-22 10:51:00,2025-01-22 10:22:00,2025-01-22 16:51:00,export_container,Transfer,Block,SS2-B1-GROUND,Block,SS2-B1-05-06-2,SS2-B1,05-06,2,RTG-09,RTG,0,OP-008,JOB-438B263F,2025-01-20 17:48:00,2025-01-20 17:48:51,0,0,N/A,Zone optimization movement,In Yard,36,Planned,Suboptimal,0,0,77,64.7,64.2,Medium
35,MOV-A45C961C6C,2025-01-20 17:57:19,Stack,CNT-0025,OOLU3254614,22R1,1,Reefer,Full,22.9,Heavy,Sea-Side,SB297064,V012,VOY-2501-MUN-12,Mundra,4,2025-01-22 10:51:00,2025-01-22 11:47:00,2025-01-22 16:51:00,export_container,Stack,Block,SS2-B1-05-06-2,Block,SS2-B1-13-07-3,SS2-B1,13-07,3,RTG-08,RTG,3,OP-017,JOB-438B263F,2025-01-20 17:57:00,2025-01-20 17:57:19,0,0,N/A,Yard stacking for storage,In Yard,9,Planned,Optimal,0,0,86,68.5,62.6,Medium
36,MOV-326423B5B3,2025-01-20 17:57:15,Stack,CNT-0046,COSU1062138,45G1,2,Dry,Full,26.7,Heavy,Sea-Side,SB666366,V009,VOY-2501-CLB-09,Colombo,1,2025-01-22 11:17:00,2025-01-22 11:49:00,2025-01-22 15:17:00,export_container,Stack,Block,SS3-B2-06-05-1,Block,SS4-B2-05-01-2,SS4-B2,05-01,2,RTG-01,RTG,2,OP-013,JOB-D8B145DD,2025-01-20 17:57:00,2025-01-20 17:57:15,0,0,N/A,Yard stacking for storage,In Yard,11,Planned,Optimal,0,0,65,70.8,35.7,Medium
37,MOV-4EE78F5D11,2025-01-20 18:03:02,Unstack,CNT-0046,COSU1062138,45G1,2,Dry,Full,26.7,Heavy,Sea-Side,SB666366,V009,VOY-2501-CLB-09,Colombo,1,2025-01-22 11:17:00,2025-01-22 11:30:00,2025-01-22 15:17:00,export_container,Unstack,Block,SS4-B2-05-01-2,Yard,SS4-B2-GROUND,SS4-B2,GROUND,0,RTG-08,RTG,0,OP-002,JOB-D8B145DD,2025-01-20 18:03:00,2025-01-20 18:03:02,0,0,N/A,Retrieval for repositioning,On Ground,6,Planned,Suboptimal,0,0,71,56.2,59.3,Low
38,MOV-536F1F41F7,2025-01-20 18:11:53,Unstack,CNT-0025,OOLU3254614,22R1,1,Reefer,Full,22.9,Heavy,Sea-Side,SB297064,V012,VOY-2501-MUN-12,Mundra,4,2025-01-22 10:51:00,2025-01-22 11:08:00,2025-01-22 16:51:00,export_container,Unstack,Block,SS2-B1-13-07-3,Yard,SS2-B1-GROUND,SS2-B1,GROUND,0,RTG-08,RTG,0,OP-018,JOB-438B263F,2025-01-20 18:11:00,2025-01-20 18:11:53,0,0,N/A,Retrieval for repositioning,On Ground,14,Planned,Suboptimal,0,0,100,56.2,50.5,Low
39,MOV-B865A46AB6,2025-01-20 18:28:02,Yard Shift,CNT-0046,COSU1062138,45G1,2,Dry,Full,26.7,Heavy,Sea-Side,SB666366,V009,VOY-2501-CLB-09,Colombo,1,2025-01-22 11:17:00,2025-01-22 11:05:00,2025-01-22 15:17:00,export_container,Transfer,Block,SS4-B2-GROUND,Block,SS5-B4-18-02-2,SS5-B4,18-02,2,RTG-01,RTG,0,OP-016,JOB-D8B145DD,2025-01-20 18:28:00,2025-01-20 18:28:02,0,0,N/A,Zone optimization movement,In Yard,25,Planned,Suboptimal,0,0,96,56.8,59.3,Low
40,MOV-02A0321995,2025-01-20 18:43:06,Stack,CNT-0046,COSU1062138,45G1,2,Dry,Full,26.7,Heavy,Sea-Side,SB666366,V009,VOY-2501-CLB-09,Colombo,1,2025-01-22 11:17:00,2025-01-22 11:45:00,2025-01-22 15:17:00,export_container,Stack,Block,SS5-B4-18-02-2,Block,SS2-B2-01-02-1,SS2-B2,01-02,1,RTG-01,RTG,1,OP-020,JOB-D8B145DD,2025-01-20 18:43:00,2025-01-20 18:43:06,0,0,N/A,Yard stacking for storage,In Yard,15,Planned,Optimal,0,0,111,50.1,30.4,Low
41,MOV-EA7B51D757,2025-01-20 18:46:16,Yard Shift,CNT-0025,OOLU3254614,22R1,1,Reefer,Full,22.9,Heavy,Sea-Side,SB297064,V012,VOY-2501-MUN-12,Mundra,4,2025-01-22 10:51:00,2025-01-22 11:44:00,2025-01-22 16:51:00,export_container,Transfer,Block,SS2-B1-GROUND,Block,SS1-B1-11-03-3,SS1-B1,11-03,3,RTG-08,RTG,0,OP-010,JOB-438B263F,2025-01-20 18:46:00,2025-01-20 18:46:16,0,0,N/A,Zone optimization movement,In Yard,35,Planned,Suboptimal,0,0,135,57.7,50.5,Low
42,MOV-0E817EEB6F,2025-01-20 18:50:31,Unstack,CNT-0046,COSU1062138,45G1,2,Dry,Full,26.7,Heavy,Sea-Side,SB666366,V009,VOY-2501-CLB-09,Colombo,1,2025-01-22 11:17:00,2025-01-22 12:03:00,2025-01-22 15:17:00,export_container,Unstack,Block,SS2-B2-01-02-1,Yard,SS2-B2-GROUND,SS2-B2,GROUND,0,RTG-01,RTG,0,OP-020,JOB-D8B145DD,2025-01-20 18:50:00,2025-01-20 18:50:31,0,0,N/A,Retrieval for repositioning,On Ground,7,Planned,Suboptimal,0,0,118,61.3,33.4,Medium
43,MOV-38967A2B1F,2025-01-20 18:54:31,Stack,CNT-0025,OOLU3254614,22R1,1,Reefer,Full,22.9,Heavy,Sea-Side,SB297064,V012,VOY-2501-MUN-12,Mundra,4,2025-01-22 10:51:00,2025-01-22 10:58:00,2025-01-22 16:51:00,export_container,Stack,Block,SS1-B1-11-03-3,Block,SS2-B1-11-06-2,SS2-B1,11-06,2,RTG-08,RTG,2,OP-009,JOB-438B263F,2025-01-20 18:54:00,2025-01-20 18:54:31,0,0,N/A,Yard stacking for storage,In Yard,8,Planned,Suboptimal,0,0,143,53.5,24.8,Low
